method,param,value
FAMD,n_components,12
MCA,n_components,15
MCA,normalize,false
MCA,n_iter,5
MFA,n_components,10
MFA,weights,null
PACMAP,n_neighbors,5
PACMAP,MN_ratio,0.5
PACMAP,n_components,3
PCA,n_components,3
PCA,svd_solver,"""randomized"""
PCA,whiten,true
PCAMIX,n_components,12
PHATE,n_components,3
PHATE,knn,15
PHATE,t,20
PHATE,decay,20
TSNE,perplexity,50
TSNE,learning_rate,200
TSNE,n_iter,1000
TSNE,metric,"""cosine"""
TSNE,n_components,2
UMAP,n_neighbors,30
UMAP,min_dist,0.1
UMAP,metric,"""cosine"""
UMAP,n_components,2
